collection_name	track_name	artist_name	track_number	release_date	apple_collection_view_url	apple_track_view_url	youtube_collection_name	youtube_track_name	youtube_collection_view_url	youtube_track_view_url
東方変波相	Demystify Feast	外柿山	7	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/demystify-feast/1528288061?i=1528288068&uo=4	東方変波相 (変容する波形と位相。)	Demystify Feast	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=yvKt4X2QE54
東方変波相	永遠の巫女への暗示	外柿山	8	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E6%B0%B8%E9%81%A0%E3%81%AE%E5%B7%AB%E5%A5%B3%E3%81%B8%E3%81%AE%E6%9A%97%E7%A4%BA/1528288061?i=1528288069&uo=4	東方変波相 (変容する波形と位相。)	永遠の巫女への暗示	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=9T29bcrXvQA
東方変波相	始まらないレクイエム	外柿山	9	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E5%A7%8B%E3%81%BE%E3%82%89%E3%81%AA%E3%81%84%E3%83%AC%E3%82%AF%E3%82%A4%E3%82%A8%E3%83%A0/1528288061?i=1528288072&uo=4	東方変波相 (変容する波形と位相。)	始まらないレクイエム	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=am-BIgooqc8
東方変波相	こいしフェイズ	外柿山	10	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E3%81%93%E3%81%84%E3%81%97%E3%83%95%E3%82%A7%E3%82%A4%E3%82%BA/1528288061?i=1528288073&uo=4	東方変波相 (変容する波形と位相。)	こいしフェイズ	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=jOSkVOiUw-E
東方変波相	無間地獄	外柿山	11	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E7%84%A1%E9%96%93%E5%9C%B0%E7%8D%84/1528288061?i=1528288074&uo=4	東方変波相 (変容する波形と位相。)	無間地獄	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=Ov1ZoY05BSQ
PUNK IT!TOUHOU! IOSYS HITS PUNK COVERS (IOSYS HITS PUNK COVERS)	チルノのパーフェクトさんすう教室(PUNK COVER)	IOSYS	1	2013-03-31 12:00:00 UTC	https://music.apple.com/jp/album/punk-it-touhou-iosys-hits-punk-covers/1437880404?uo=4	https://music.apple.com/jp/album/%E3%83%81%E3%83%AB%E3%83%8E%E3%81%AE%E3%83%91%E3%83%BC%E3%83%95%E3%82%A7%E3%82%AF%E3%83%88%E3%81%95%E3%82%93%E3%81%99%E3%81%86%E6%95%99%E5%AE%A4-punk-cover/1437880404?i=1437880405&uo=4	PUNK IT!TOUHOU! -IOSYS HITS PUNK COVERS-	チルノのパーフェクトさんすう教室(PUNK COVER)	https://music.youtube.com/browse/MPREb_iW0S4p1xJ1F	https://music.youtube.com/watch?v=z3S2n-W9_cQ
PUNK IT!TOUHOU! IOSYS HITS PUNK COVERS (IOSYS HITS PUNK COVERS)	キャプテン・ムラサのケツアンカー(PUNK COVER)	IOSYS	2	2013-03-31 12:00:00 UTC	https://music.apple.com/jp/album/punk-it-touhou-iosys-hits-punk-covers/1437880404?uo=4	https://music.apple.com/jp/album/%E3%82%AD%E3%83%A3%E3%83%97%E3%83%86%E3%83%B3-%E3%83%A0%E3%83%A9%E3%82%B5%E3%81%AE%E3%82%B1%E3%83%84%E3%82%A2%E3%83%B3%E3%82%AB%E3%83%BC-punk-cover/1437880404?i=1437880406&uo=4	PUNK IT!TOUHOU! -IOSYS HITS PUNK COVERS-	キャプテン・ムラサのケツアンカー(PUNK COVER)	https://music.youtube.com/browse/MPREb_iW0S4p1xJ1F	https://music.youtube.com/watch?v=hK7eYhiqt78
PUNK IT!TOUHOU! IOSYS HITS PUNK COVERS (IOSYS HITS PUNK COVERS)	Club Ibuki in Break All(PUNK COVER)	IOSYS	3	2013-03-31 12:00:00 UTC	https://music.apple.com/jp/album/punk-it-touhou-iosys-hits-punk-covers/1437880404?uo=4	https://music.apple.com/jp/album/club-ibuki-in-break-all-punk-cover/1437880404?i=1437880407&uo=4	PUNK IT!TOUHOU! -IOSYS HITS PUNK COVERS-	Club Ibuki in Break All(PUNK COVER)	https://music.youtube.com/browse/MPREb_iW0S4p1xJ1F	https://music.youtube.com/watch?v=O27-OHR_4MY
PUNK IT!TOUHOU! IOSYS HITS PUNK COVERS (IOSYS HITS PUNK COVERS)	ねこ巫女れいむ(PUNK COVER)	IOSYS	4	2013-03-31 12:00:00 UTC	https://music.apple.com/jp/album/punk-it-touhou-iosys-hits-punk-covers/1437880404?uo=4	https://music.apple.com/jp/album/%E3%81%AD%E3%81%93%E5%B7%AB%E5%A5%B3%E3%82%8C%E3%81%84%E3%82%80-punk-cover/1437880404?i=1437880408&uo=4	PUNK IT!TOUHOU! -IOSYS HITS PUNK COVERS-	ねこ巫女れいむ(PUNK COVER)	https://music.youtube.com/browse/MPREb_iW0S4p1xJ1F	https://music.youtube.com/watch?v=c00Fac8DRTM
PUNK IT!TOUHOU! IOSYS HITS PUNK COVERS (IOSYS HITS PUNK COVERS)	行列のできるえーりん診療所(PUNK COVER)	IOSYS	5	2013-03-31 12:00:00 UTC	https://music.apple.com/jp/album/punk-it-touhou-iosys-hits-punk-covers/1437880404?uo=4	https://music.apple.com/jp/album/%E8%A1%8C%E5%88%97%E3%81%AE%E3%81%A7%E3%81%8D%E3%82%8B%E3%81%88%E3%83%BC%E3%82%8A%E3%82%93%E8%A8%BA%E7%99%82%E6%89%80-punk-cover/1437880404?i=1437880409&uo=4	PUNK IT!TOUHOU! -IOSYS HITS PUNK COVERS-	行列のできるえーりん診療所(PUNK COVER)	https://music.youtube.com/browse/MPREb_iW0S4p1xJ1F	https://music.youtube.com/watch?v=4VaRK29t1Co
